user_id,username,display_name,first_name,last_name,bio,location,website,content_type,followers,following,posts_count,stories_count,reels_count,avg_likes,avg_comments,engagement_rate,verified,private,business_account,created_date,last_post_date,profile_pic_url,is_match
ig_0001,daniellejohnson99,Danielle Johnson,Danielle,Johnson,💫 Nature creator | Johnsonland based | Spreading positivity,"Karenberg, Yemen",,Nature,14370,906,942,76,17,337,99,3.54,True,False,False,2021-07-31,2025-06-01,https://example.com/profile_1.jpg,True
ig_0012,tricia.baker,Tricia Baker,Tricia,Baker,💫 Pets creator | New Jillton based | Spreading positivity,"Lake Ralph, San Marino",,Pets,10221,1573,844,88,8,160,78,3.05,False,False,True,2023-05-23,2025-06-01,https://example.com/profile_12.jpg,True
ig_0013,casey_jones,Casey Jones,Casey,Jones,✨ Business lover | Sharing my journey | DM for collabs,"Port Breanna, Algeria",,Business,17101,795,758,65,47,901,67,3.84,True,False,True,2019-06-04,2025-06-07,https://example.com/profile_13.jpg,True
ig_0014,yferrell,Yolanda Ferrell,Yolanda,Ferrell,🎯 Education | Entrepreneur | Building dreams one post at a time,"Port Ashley, Lebanon",,Education,31901,1377,193,67,30,189,62,7.28,True,True,False,2019-11-23,2025-06-05,https://example.com/profile_14.jpg,True
ig_0015,destiny.smith,Destiny Smith,Destiny,Smith,✨ Art lover | Sharing my journey | DM for collabs,"Michaelbury, Saint Kitts and Nevis",,Art,39987,1643,766,15,41,211,46,4.49,True,True,True,2020-11-05,2025-06-05,https://example.com/profile_15.jpg,True
ig_0016,joshuasmith,Joshua Smith,Joshua,Smith,📸 Capturing life's moments | Beauty enthusiast | Arnoldchester,"Margaretville, Togo",http://www.murphy-suarez.com/,Beauty,33354,187,297,70,34,876,95,4.76,True,True,False,2019-02-17,2025-06-04,https://example.com/profile_16.jpg,True
ig_0017,dparker,David Parker,David,Parker,✨ Music lover | Sharing my journey | DM for collabs,"Jonesmouth, Venezuela",,Music,48559,424,726,83,15,243,89,6.02,True,True,False,2023-01-05,2025-06-06,https://example.com/profile_17.jpg,True
ig_0018,leah.shields,Leah Shields,Leah,Shields,✨ Food lover | Sharing my journey | DM for collabs,"Harrisfurt, Burundi",https://www.vaughn.org/,Food,4272,1905,944,16,33,320,8,2.45,True,False,False,2020-08-22,2025-06-02,https://example.com/profile_18.jpg,True
ig_0019,mrasmussen,Michelle Rasmussen,Michelle,Rasmussen,🌟 Travel | Living my best life | Follow for daily inspiration,"Johnton, Romania",http://morris.biz/,Travel,4887,452,509,14,28,95,61,2.38,True,False,False,2018-02-26,2025-06-05,https://example.com/profile_19.jpg,True
ig_0020,jameswilliams,James Williams,James,Williams,📸 Capturing life's moments | Sports enthusiast | Jonesmouth,"Shannonbury, Benin",https://allen-freeman.com/,Sports,29108,1642,678,24,37,835,82,5.3,False,True,False,2020-04-16,2025-06-06,https://example.com/profile_20.jpg,True
ig_0021,angelalee97,Angela Lee,Angela,Lee,💫 Technology creator | West Justinchester based | Spreading positivity,"North Noahbury, India",,Technology,21637,1088,514,65,18,984,83,3.1,True,False,False,2025-01-31,2025-06-05,https://example.com/profile_21.jpg,True
ig_0022,crobertson,Christopher Robertson,Christopher,Robertson,🌟 Family | Living my best life | Follow for daily inspiration,"Port William, Dominican Republic",,Family,7405,1599,988,23,31,16,41,7.25,False,False,True,2021-03-16,2025-06-02,https://example.com/profile_22.jpg,True
ig_0023,heathersnyder,Heather Snyder,Heather,Snyder,🌟 Sports | Living my best life | Follow for daily inspiration,"Port Ericchester, Seychelles",,Sports,29145,751,673,87,34,852,24,2.36,True,True,True,2022-08-20,2025-06-03,https://example.com/profile_23.jpg,True
ig_0024,cdodson,Caitlin Dodson,Caitlin,Dodson,🌟 Business | Living my best life | Follow for daily inspiration,"Robinport, Christmas Island",http://scott-montoya.biz/,Business,31024,260,721,38,39,225,74,5.7,False,True,True,2018-01-17,2025-06-07,https://example.com/profile_24.jpg,True
ig_0025,mattheworozco99,Matthew Orozco,Matthew,Orozco,✨ Photography lover | Sharing my journey | DM for collabs,"Haleymouth, North Macedonia",,Photography,10397,716,999,66,30,679,77,6.52,False,True,False,2024-07-26,2025-06-03,https://example.com/profile_25.jpg,True
ig_0026,sophia.smith,Sophia Smith,Sophia,Smith,✨ Health lover | Sharing my journey | DM for collabs,"Robertview, Armenia",,Health,47725,774,869,95,20,470,40,3.98,False,False,True,2025-03-27,2025-06-07,https://example.com/profile_26.jpg,True
ig_0027,amandameadows98,Amanda Meadows,Amanda,Meadows,💫 Travel creator | Whiteview based | Spreading positivity,"East Elizabethside, Afghanistan",,Travel,9270,985,805,35,1,848,91,2.42,False,False,False,2018-07-08,2025-06-07,https://example.com/profile_27.jpg,True
ig_0028,thomas.curry,Thomas Curry,Thomas,Curry,💫 Sports creator | East Jamestown based | Spreading positivity,"West Douglaschester, Cote d'Ivoire",,Sports,36798,1563,224,27,39,525,57,6.99,True,True,True,2020-10-23,2025-06-07,https://example.com/profile_28.jpg,True
ig_0029,catherine.stuart,Catherine Stuart,Catherine,Stuart,🎯 Pets | Entrepreneur | Building dreams one post at a time,"West Cynthiaview, Korea",,Pets,3114,1649,695,49,44,992,91,4.41,False,False,True,2018-05-13,2025-06-06,https://example.com/profile_29.jpg,True
ig_0030,davidriggs,David Riggs,David,Riggs,🌟 Education | Living my best life | Follow for daily inspiration,"New Logan, Croatia",,Education,28812,1941,311,14,30,147,96,1.52,False,True,True,2024-11-05,2025-06-05,https://example.com/profile_30.jpg,True
ig_0031,jessica.sheppard,Jessica Sheppard,Jessica,Sheppard,🎯 Art | Entrepreneur | Building dreams one post at a time,"South Tylerview, Puerto Rico",,Art,16171,721,606,69,48,686,34,4.9,False,True,True,2023-06-26,2025-06-07,https://example.com/profile_31.jpg,True
ig_0032,anthonyrosales,Anthony Rosales,Anthony,Rosales,🌟 Education | Living my best life | Follow for daily inspiration,"New Glennhaven, Mauritania",https://pitts-webster.com/,Education,29318,1580,925,27,11,338,60,2.59,False,False,True,2018-04-30,2025-06-05,https://example.com/profile_32.jpg,True
ig_0033,jeffrey.holt,Jeffrey Holt,Jeffrey,Holt,🎯 Technology | Entrepreneur | Building dreams one post at a time,"Amandamouth, Burkina Faso",https://www.adams-gonzalez.biz/,Technology,1616,337,142,82,26,447,51,6.64,True,True,False,2023-11-19,2025-06-07,https://example.com/profile_33.jpg,True
ig_0034,jwashington,Javier Washington,Javier,Washington,📸 Capturing life's moments | Sports enthusiast | Harrytown,"Port Danielfurt, Taiwan",https://www.torres.org/,Sports,21534,1668,571,62,18,598,43,5.44,True,True,True,2021-06-19,2025-06-04,https://example.com/profile_34.jpg,True
ig_0035,monique_andrews,Monique Andrews,Monique,Andrews,📸 Capturing life's moments | Family enthusiast | Vasquezshire,"New Trevorside, Latvia",,Family,30800,1299,685,24,48,84,99,5.79,False,False,False,2020-12-23,2025-06-06,https://example.com/profile_35.jpg,True
ig_0036,caitlin_montgomery,Caitlin Montgomery,Caitlin,Montgomery,📸 Capturing life's moments | Education enthusiast | Ashleyton,"Lake Jim, Iraq",,Education,37797,745,484,67,49,719,95,6.74,False,True,False,2019-09-15,2025-06-04,https://example.com/profile_36.jpg,True
ig_0037,aaron.hayes,Aaron Hayes,Aaron,Hayes,🎯 Lifestyle | Entrepreneur | Building dreams one post at a time,"Port Johnbury, Saint Barthelemy",http://www.gentry.net/,Lifestyle,1336,67,250,41,27,164,34,6.99,False,False,True,2024-01-16,2025-06-07,https://example.com/profile_37.jpg,True
ig_0038,gparker,Gabriel Parker,Gabriel,Parker,🎯 Health | Entrepreneur | Building dreams one post at a time,"East Amyfurt, Burkina Faso",,Health,9817,472,335,23,6,36,69,5.21,True,True,False,2020-03-22,2025-06-06,https://example.com/profile_38.jpg,True
ig_0039,barbara.sampson,Barbara Sampson,Barbara,Sampson,✨ Education lover | Sharing my journey | DM for collabs,"West Carlosburgh, Tokelau",,Education,13318,670,187,54,17,248,28,6.41,True,True,False,2024-05-23,2025-06-07,https://example.com/profile_39.jpg,True
ig_0040,heatherroberts16,Heather Roberts,Heather,Roberts,💫 Lifestyle creator | Darrellfurt based | Spreading positivity,"Lake Denisemouth, Kyrgyz Republic",http://www.chang-jones.com/,Lifestyle,48590,477,409,6,28,459,52,2.39,False,True,True,2023-02-03,2025-06-04,https://example.com/profile_40.jpg,True
ig_0041,cwolf,Colleen Wolf,Colleen,Wolf,📸 Capturing life's moments | Family enthusiast | Lake Chelseabury,"Coryborough, Cayman Islands",,Family,13838,296,983,62,47,629,46,6.25,False,False,True,2019-08-08,2025-06-07,https://example.com/profile_41.jpg,True
ig_0042,deborahmoore,Deborah Moore,Deborah,Moore,🌟 Family | Living my best life | Follow for daily inspiration,"Port Andrea, Belarus",,Family,33440,279,987,58,1,17,49,6.62,False,True,False,2017-11-28,2025-06-04,https://example.com/profile_42.jpg,True
ig_0043,joseph.smith,Joseph Smith,Joseph,Smith,💫 Food creator | Andreaside based | Spreading positivity,"Coreyberg, Cambodia",https://matthews.net/,Food,42829,665,254,89,5,676,83,6.67,False,True,False,2021-03-25,2025-06-06,https://example.com/profile_43.jpg,True
ig_0044,thomas.mcintyre,Thomas Mcintyre,Thomas,Mcintyre,✨ Travel lover | Sharing my journey | DM for collabs,"Michelleshire, Ireland",http://www.brooks.com/,Travel,11723,1206,29,16,33,169,18,5.87,True,True,True,2023-10-13,2025-06-02,https://example.com/profile_44.jpg,True
ig_0045,monica.booker,Monica Booker,Monica,Booker,🎯 Health | Entrepreneur | Building dreams one post at a time,"West Marisaborough, China",,Health,10420,908,196,22,33,998,20,6.19,True,False,True,2020-10-14,2025-06-01,https://example.com/profile_45.jpg,True
ig_0046,cynthiabrennan,Cynthia Brennan,Cynthia,Brennan,✨ Pets lover | Sharing my journey | DM for collabs,"North Jamesfurt, Malta",,Pets,41080,814,950,33,39,338,4,6.48,False,True,False,2020-11-20,2025-06-05,https://example.com/profile_46.jpg,True
ig_0047,roberta_thomas,Roberta Thomas,Roberta,Thomas,📸 Capturing life's moments | Sports enthusiast | Santanaside,"North Thomas, Canada",,Sports,39323,1529,557,21,10,112,2,3.44,True,True,False,2021-10-20,2025-06-04,https://example.com/profile_47.jpg,True
ig_0048,yvonnecastaneda,Yvonne Castaneda,Yvonne,Castaneda,💫 Pets creator | Alanton based | Spreading positivity,"North Sarah, Canada",http://www.rogers.biz/,Pets,35274,951,157,77,40,10,40,4.33,False,True,False,2023-03-17,2025-06-01,https://example.com/profile_48.jpg,True
ig_0049,jcampos,John Campos,John,Campos,🎯 Health | Entrepreneur | Building dreams one post at a time,"Jamesside, Myanmar",,Health,6417,1028,524,95,36,210,17,2.54,True,True,True,2017-09-07,2025-06-03,https://example.com/profile_49.jpg,True
ig_0050,makaylaolson,Makayla Olson,Makayla,Olson,💫 Fashion creator | Mccartyberg based | Spreading positivity,"Jacobstown, Bahamas",,Fashion,40405,265,275,28,16,199,94,5.62,False,False,False,2018-03-14,2025-06-02,https://example.com/profile_50.jpg,True
ig_0051,alexander_herrera,Alexander Herrera,Alexander,Herrera,💫 Education creator | Carsonstad based | Spreading positivity,"Stephanieshire, American Samoa",,Education,9617,1236,774,4,47,937,50,5.42,True,True,True,2017-08-22,2025-06-04,https://example.com/profile_51.jpg,True
ig_0052,jacquelinebanks,Jacqueline Banks,Jacqueline,Banks,✨ Music lover | Sharing my journey | DM for collabs,"Daviston, Palau",,Music,867,1221,512,61,22,202,81,7.09,False,False,True,2021-01-17,2025-06-02,https://example.com/profile_52.jpg,True
ig_0053,sjohnson,Stephanie Johnson,Stephanie,Johnson,🎯 Technology | Entrepreneur | Building dreams one post at a time,"East Amberfurt, Mongolia",,Technology,48921,622,691,98,32,956,44,3.36,True,False,False,2017-10-06,2025-06-04,https://example.com/profile_53.jpg,True
ig_0054,bcook,Brent Cook,Brent,Cook,📸 Capturing life's moments | Gaming enthusiast | Port Rachel,"Lake Peterberg, Colombia",,Gaming,22537,1613,551,33,4,810,47,3.99,True,True,True,2018-05-24,2025-06-06,https://example.com/profile_54.jpg,True
ig_0055,davidhoward30,David Howard,David,Howard,📸 Capturing life's moments | Fashion enthusiast | Lake Brycemouth,"Leslieview, Samoa",,Fashion,19479,308,914,44,19,473,56,4.87,True,True,False,2020-09-10,2025-06-01,https://example.com/profile_55.jpg,True
ig_0056,kevin_schneider,Kevin Schneider,Kevin,Schneider,✨ Fitness lover | Sharing my journey | DM for collabs,"Rodriguezburgh, Mexico",http://gibson.com/,Fitness,13120,1552,782,45,33,625,100,2.06,True,False,True,2020-09-09,2025-06-07,https://example.com/profile_56.jpg,True
ig_0057,cgarcia,Catherine Garcia,Catherine,Garcia,🌟 Photography | Living my best life | Follow for daily inspiration,"Port Jeremiah, Gabon",,Photography,44690,389,670,81,39,241,97,6.01,False,True,False,2019-10-12,2025-06-06,https://example.com/profile_57.jpg,True
ig_0058,carlosdecker7,Carlos Decker,Carlos,Decker,💫 Business creator | Elizabethchester based | Spreading positivity,"East Michael, Bermuda",https://www.peterson.org/,Business,27707,1880,507,59,20,149,93,7.57,True,True,False,2019-08-05,2025-06-01,https://example.com/profile_58.jpg,True
ig_0059,wmoore,William Moore,William,Moore,✨ Business lover | Sharing my journey | DM for collabs,"New Josephmouth, South Georgia and the South Sandwich Islands",https://www.jensen-clark.com/,Business,40281,1266,88,7,48,430,18,2.01,True,True,False,2020-10-19,2025-06-05,https://example.com/profile_59.jpg,True
ig_0060,chadfigueroa21,Chad Figueroa,Chad,Figueroa,🎯 Beauty | Entrepreneur | Building dreams one post at a time,"Codyberg, Latvia",,Beauty,23064,194,251,35,8,924,52,1.86,True,True,False,2020-09-15,2025-06-05,https://example.com/profile_60.jpg,True
ig_0061,ebony.tucker,Ebony Tucker,Ebony,Tucker,📸 Capturing life's moments | Education enthusiast | West Russellport,"Jennifertown, Philippines",,Education,34219,687,556,13,49,653,77,4.3,False,False,True,2018-07-04,2025-06-07,https://example.com/profile_61.jpg,True
ig_0062,ssaunders,Sierra Saunders,Sierra,Saunders,✨ Gaming lover | Sharing my journey | DM for collabs,"Breannastad, Bouvet Island (Bouvetoya)",,Gaming,49530,1914,757,43,17,982,6,3.67,False,True,False,2020-06-28,2025-06-01,https://example.com/profile_62.jpg,True
ig_0063,satkins,Samantha Atkins,Samantha,Atkins,💫 Photography creator | South Andrewmouth based | Spreading positivity,"New Elizabethmouth, Zimbabwe",http://www.fernandez-sullivan.com/,Photography,14821,1120,125,11,46,627,77,7.06,True,False,False,2023-04-18,2025-06-06,https://example.com/profile_63.jpg,True
ig_0064,randycollins,Randy Collins,Randy,Collins,🌟 Fashion | Living my best life | Follow for daily inspiration,"Scottside, Japan",https://www.ford.com/,Fashion,48101,614,946,32,40,530,43,3.94,False,False,True,2021-06-08,2025-06-02,https://example.com/profile_64.jpg,True
ig_0065,gregorymejia,Gregory Mejia,Gregory,Mejia,✨ Pets lover | Sharing my journey | DM for collabs,"Greenhaven, San Marino",,Pets,14608,1260,464,85,17,116,100,6.78,False,False,False,2019-04-13,2025-06-06,https://example.com/profile_65.jpg,True
ig_0066,jbrown,Joshua Brown,Joshua,Brown,🎯 Fashion | Entrepreneur | Building dreams one post at a time,"New Danielton, Liechtenstein",https://www.kim.com/,Fashion,42218,251,609,12,7,999,98,2.67,False,False,True,2020-08-30,2025-06-06,https://example.com/profile_66.jpg,True
ig_0067,walterrosario45,Walter Rosario,Walter,Rosario,🎯 Gaming | Entrepreneur | Building dreams one post at a time,"South Cathy, Saint Lucia",http://www.petty-ramirez.com/,Gaming,2542,1975,428,80,47,806,56,5.68,True,True,True,2021-07-06,2025-06-02,https://example.com/profile_67.jpg,True
ig_0068,deborah.jones,Deborah Jones,Deborah,Jones,🌟 Fashion | Living my best life | Follow for daily inspiration,"New Ericbury, Montserrat",https://reynolds-hernandez.com/,Fashion,1959,1543,487,32,22,848,88,3.41,True,False,False,2018-10-12,2025-06-07,https://example.com/profile_68.jpg,True
ig_0069,jeanne.miller,Jeanne Miller,Jeanne,Miller,🌟 Gaming | Living my best life | Follow for daily inspiration,"Lake Jessica, Poland",http://www.orr-smith.com/,Gaming,10624,478,591,98,35,673,42,6.18,False,True,False,2023-07-11,2025-06-01,https://example.com/profile_69.jpg,True
ig_0070,eric.phillips,Eric Phillips,Eric,Phillips,🎯 Health | Entrepreneur | Building dreams one post at a time,"North Amyfurt, Egypt",,Health,15014,698,868,39,6,946,93,1.63,False,False,False,2023-10-12,2025-06-06,https://example.com/profile_70.jpg,True
ig_0071,erica_young,Erica Young,Erica,Young,✨ Beauty lover | Sharing my journey | DM for collabs,"Chavezshire, Bouvet Island (Bouvetoya)",,Beauty,46459,1044,379,43,28,927,47,6.28,True,False,True,2022-05-01,2025-06-01,https://example.com/profile_71.jpg,True
ig_0072,cassandra_salas,Cassandra Salas,Cassandra,Salas,🎯 Business | Entrepreneur | Building dreams one post at a time,"North Johnnyfurt, South Georgia and the South Sandwich Islands",http://www.friedman.com/,Business,36831,656,794,71,34,192,51,5.33,True,True,True,2023-12-31,2025-06-01,https://example.com/profile_72.jpg,True
ig_0073,sperry,Sarah Perry,Sarah,Perry,🌟 Beauty | Living my best life | Follow for daily inspiration,"Harrismouth, Saint Vincent and the Grenadines",,Beauty,22392,1141,382,50,8,953,50,1.73,False,True,False,2024-02-02,2025-06-05,https://example.com/profile_73.jpg,True
ig_0074,heathertaylor29,Heather Taylor,Heather,Taylor,✨ Travel lover | Sharing my journey | DM for collabs,"Singhton, Iceland",,Travel,43846,610,46,63,14,863,89,7.88,True,True,False,2017-07-04,2025-06-06,https://example.com/profile_74.jpg,True
ig_0075,cindy_brown,Cindy Brown,Cindy,Brown,📸 Capturing life's moments | Fitness enthusiast | Lake Douglas,"Kevinland, Western Sahara",,Fitness,1461,1806,646,61,28,434,72,4.86,True,False,True,2024-04-09,2025-06-07,https://example.com/profile_75.jpg,True
ig_0076,aromero,Alicia Romero,Alicia,Romero,🎯 Beauty | Entrepreneur | Building dreams one post at a time,"Castilloview, Iceland",http://www.johnson.org/,Beauty,25469,1579,287,90,50,382,34,4.02,False,True,False,2021-07-21,2025-06-05,https://example.com/profile_76.jpg,True
ig_0077,amy.li,Amy Li,Amy,Li,✨ Food lover | Sharing my journey | DM for collabs,"South David, Bhutan",,Food,46134,555,834,68,37,141,13,7.87,False,False,True,2023-03-21,2025-06-02,https://example.com/profile_77.jpg,True
ig_0078,justin_atkins,Justin Atkins,Justin,Atkins,🎯 Health | Entrepreneur | Building dreams one post at a time,"Millerville, Mali",http://bates.com/,Health,14777,1002,295,73,3,481,80,4.07,False,True,True,2022-12-27,2025-06-03,https://example.com/profile_78.jpg,True
ig_0079,hcarter,Henry Carter,Henry,Carter,🎯 Gaming | Entrepreneur | Building dreams one post at a time,"Port Ashley, Sri Lanka",,Gaming,22880,1026,908,90,9,75,88,3.48,False,False,True,2019-11-28,2025-06-07,https://example.com/profile_79.jpg,True
ig_0080,lshelton,Laurie Shelton,Laurie,Shelton,💫 Pets creator | Patrickshire based | Spreading positivity,"Lake Jordan, Thailand",http://www.harris-farmer.com/,Pets,8839,861,240,84,28,327,69,5.88,False,False,True,2020-09-26,2025-06-01,https://example.com/profile_80.jpg,True
ig_0081,dwright,Debra Wright,Debra,Wright,✨ Sports lover | Sharing my journey | DM for collabs,"Nicholasshire, New Caledonia",https://zamora.info/,Sports,44751,1251,342,0,39,64,92,6.28,True,True,True,2018-08-15,2025-06-01,https://example.com/profile_81.jpg,True
ig_0082,seanmiller68,Sean Miller,Sean,Miller,✨ Photography lover | Sharing my journey | DM for collabs,"New Devintown, Sudan",,Photography,39521,1634,797,22,11,40,84,7.5,True,False,True,2018-07-19,2025-06-06,https://example.com/profile_82.jpg,True
ig_0083,michaelarmstrong13,Michael Armstrong,Michael,Armstrong,💫 Beauty creator | Hammondshire based | Spreading positivity,"Lake Williamberg, Palau",,Beauty,31190,333,887,43,11,108,40,3.49,False,False,False,2019-03-20,2025-06-04,https://example.com/profile_83.jpg,True
ig_0084,maria_arnold,Maria Arnold,Maria,Arnold,💫 Technology creator | Fredmouth based | Spreading positivity,"Tammyberg, Uganda",,Technology,23116,1375,668,10,21,472,97,1.66,False,True,True,2020-07-24,2025-06-01,https://example.com/profile_84.jpg,True
ig_0085,davidturner,David Turner,David,Turner,📸 Capturing life's moments | Health enthusiast | East Donna,"Vincentland, Luxembourg",,Health,34776,75,24,41,24,323,4,6.6,False,True,True,2019-07-13,2025-06-03,https://example.com/profile_85.jpg,True
ig_0086,jarmstrong,Jason Armstrong,Jason,Armstrong,✨ Pets lover | Sharing my journey | DM for collabs,"South Jeremy, United States Minor Outlying Islands",,Pets,22726,248,913,87,9,624,48,5.02,False,True,True,2020-04-20,2025-06-07,https://example.com/profile_86.jpg,True
ig_0087,michelleflores,Michelle Flores,Michelle,Flores,🎯 Travel | Entrepreneur | Building dreams one post at a time,"Collinsbury, Guatemala",https://www.phillips.org/,Travel,7982,1703,976,39,18,120,45,5.78,True,True,False,2018-03-11,2025-06-06,https://example.com/profile_87.jpg,True
ig_0088,lpeck,Lisa Peck,Lisa,Peck,🎯 Fitness | Entrepreneur | Building dreams one post at a time,"New Jacqueline, Botswana",http://fuller.com/,Fitness,29897,1951,694,70,24,812,58,7.61,True,False,True,2020-03-14,2025-06-01,https://example.com/profile_88.jpg,True
ig_0089,joseph_diaz,Joseph Diaz,Joseph,Diaz,💫 Music creator | Duranview based | Spreading positivity,"Wilsonton, Bahamas",,Music,26595,135,386,7,30,840,85,5.95,True,True,False,2021-02-24,2025-06-02,https://example.com/profile_89.jpg,True
ig_0090,dmorrison,Drew Morrison,Drew,Morrison,🎯 Nature | Entrepreneur | Building dreams one post at a time,"West Ronaldtown, Austria",,Nature,35907,1367,225,36,20,148,58,6.34,False,False,False,2018-02-12,2025-06-04,https://example.com/profile_90.jpg,True
ig_0091,annawells56,Anna Wells,Anna,Wells,💫 Food creator | Bakershire based | Spreading positivity,"South Christopher, Benin",,Food,6936,708,594,61,39,408,40,4.48,False,True,True,2023-03-22,2025-06-06,https://example.com/profile_91.jpg,True
ig_0092,dylanbecker,Dylan Becker,Dylan,Becker,🎯 Business | Entrepreneur | Building dreams one post at a time,"East Tonya, Brunei Darussalam",https://www.davis-johnson.com/,Business,37539,1161,197,82,20,766,7,4.74,True,False,False,2025-01-02,2025-06-06,https://example.com/profile_92.jpg,True
ig_0093,timothy.bennett,Timothy Bennett,Timothy,Bennett,📸 Capturing life's moments | Nature enthusiast | Leebury,"South Jillchester, Sao Tome and Principe",https://www.mcintyre.com/,Nature,44937,1839,464,94,32,546,23,4.56,True,True,True,2025-03-14,2025-06-03,https://example.com/profile_93.jpg,True
ig_0094,ann_michael,Ann Michael,Ann,Michael,🌟 Music | Living my best life | Follow for daily inspiration,"East Tiffany, Italy",,Music,13443,1064,231,73,40,637,2,1.32,False,True,True,2025-05-02,2025-06-06,https://example.com/profile_94.jpg,True
ig_0095,jasonclayton,Jason Clayton,Jason,Clayton,🌟 Music | Living my best life | Follow for daily inspiration,"Patricktown, Botswana",http://smith.com/,Music,25653,1742,253,47,25,55,20,1.99,True,False,False,2025-02-22,2025-06-03,https://example.com/profile_95.jpg,True
ig_0096,ahickman,Andrea Hickman,Andrea,Hickman,✨ Business lover | Sharing my journey | DM for collabs,"West Jimmy, Moldova",https://www.kidd-nichols.com/,Business,42917,1558,955,34,26,716,2,3.91,False,False,False,2024-12-15,2025-06-06,https://example.com/profile_96.jpg,True
ig_0097,sharongentry25,Sharon Gentry,Sharon,Gentry,🎯 Technology | Entrepreneur | Building dreams one post at a time,"Port Stephen, Zambia",,Technology,45485,859,62,89,49,469,17,5.64,True,True,True,2018-11-25,2025-06-04,https://example.com/profile_97.jpg,True
ig_0098,alice_small,Alice Small,Alice,Small,📸 Capturing life's moments | Pets enthusiast | Wongburgh,"New Philipchester, Romania",,Pets,21555,392,986,94,16,988,88,6.01,False,False,False,2023-11-28,2025-06-07,https://example.com/profile_98.jpg,True
ig_0099,zmiller,Zachary Miller,Zachary,Miller,📸 Capturing life's moments | Technology enthusiast | Molinamouth,"Cisnerosberg, Falkland Islands (Malvinas)",http://phelps-ramos.com/,Technology,25980,1735,926,25,5,578,64,2.41,True,False,False,2023-10-03,2025-06-03,https://example.com/profile_99.jpg,True
ig_0100,sandrabarron,Sandra Barron,Sandra,Barron,📸 Capturing life's moments | Music enthusiast | Hernandezstad,"Gallegosburgh, Mozambique",http://www.smith-gutierrez.com/,Music,12189,221,800,88,4,257,56,5.31,False,True,False,2023-11-19,2025-06-03,https://example.com/profile_100.jpg,True
